OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
371,ASPIRE FERTILITY-DALLAS,,ADDISON,TEXAS,"Linda C. Elkins, MD",47,25,28,19,55.3%,44.0%,21.4%,* / 19,48.9%,44.0%,17.9%,* / 19,47,25,27,19,55.3%,44.0%,22.2%,* / 19,48.9%,44.0%,18.5%,* / 19,57,25,22,9,45.6%,44.0%,27.3%,* / 9,40.4%,44.0%,22.7%,* / 9,1.8,2.3,4.7,19.0,65.0%,10 / 18,23.8%,* / 10,65.0%,10 / 18,28.6%,* / 10,65.0%,10 / 18,28.6%,* / 10,1.1,1.1,1.1,1.3,1.2,1.1,0.8,0.6,*,*,*,*,* / *,0 / *,* / *,* / *,* / *,0 / *,* / *,* / *,113,59,61,42,275,6.0%,0.0%,3.2%,20.7%,7.1%,10.9%,11.9%,16.7%,8.3%,12.1%,1.8%,3.4%,1.6%,0.0%,1.8%,3.1%,3.4%,0.0%,0.0%,2.1%,89.1%,93.1%,75.8%,55.0%,82.2%,85.9%,86.2%,87.9%,80.0%,85.6%,45.3%,62.1%,51.5%,30.0%,47.9%,20%,5%,12%,12%,1%,1%,0%,8%,38%,1%,20%,2%,29%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
372,DFW CENTER FOR FERTILITY & IVF,,ALLEN,TEXAS,"Victor E. Beshay, MD",24,9,14,5,66.7%,5 / 9,* / 14,* / 5,58.3%,* / 9,* / 14,* / 5,24,8,13,5,66.7%,5 / 8,* / 13,* / 5,58.3%,* / 8,* / 13,* / 5,23,8,6,*,69.6%,5 / 8,* / 6,* / *,60.9%,* / 8,* / 6,* / *,1.5,1.8,4.7,5.0,13 / 19,* / 6,* / 6,* / 5,14 / 19,* / 6,* / 6,* / 5,14 / 19,* / 6,* / 6,* / 5,1.1,1.0,1.2,1.0,1.0,0.8,0.7,0.4,0,*,*,*,,0 / *,* / *,* / *,,0 / *,* / *,* / *,55,16,17,13,101,3.6%,* / 10,0 / 12,0 / 7,3.5%,3.7%,* / 15,6 / 17,* / 13,12.1%,1.8%,0 / 16,0 / 17,0 / 13,1.0%,0.0%,0 / 8,0 / 7,0 / 8,0.0%,71.4%,6 / 8,5 / 7,5 / 8,70.7%,82.9%,6 / 8,6 / 7,8 / 8,84.5%,37.1%,* / 8,* / 7,* / 8,34.5%,54%,5%,15%,13%,10%,43%,0%,38%,42%,1%,0%,2%,4%,Yes,Yes,Yes,Yes,No,No,Yes,0,TX
373,IVFMD-ARLINGTON,,ARLINGTON,TEXAS,"Renju Raj, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,*,,,,* / *,,,,* / *,19,6,14,5,44,* / 11,0 / *,0 / 9,0 / *,3.6%,0 / 18,* / 6,* / 14,* / 5,14.0%,* / 19,0 / 6,* / 14,0 / 5,4.5%,0 / 11,0 / *,0 / 9,0 / *,0.0%,7 / 11,* / *,5 / 9,* / *,60.0%,11 / 11,* / *,7 / 9,0 / *,80.0%,* / 11,0 / *,* / 9,0 / *,12.0%,43%,5%,16%,23%,2%,2%,0%,45%,36%,5%,9%,7%,0%,No,No,Yes,Yes,Yes,Yes,Yes,0,TX
374,ASPIRE FERTILITY-AUSTIN,,AUSTIN,TEXAS,"Christine Mansfield, MD",68,50,88,32,45.6%,24.0%,19.3%,3.1%,42.6%,24.0%,18.2%,3.1%,59,44,73,23,52.5%,27.3%,23.3%,4.3%,49.2%,27.3%,21.9%,4.3%,45,35,28,*,68.9%,34.3%,60.7%,* / *,64.4%,34.3%,57.1%,* / *,2.2,4.2,5.2,32.0,44.9%,23.5%,8.3%,0 / 10,59.2%,35.3%,30.6%,* / 10,61.2%,35.3%,33.3%,* / 10,1.3,1.4,2.1,1.8,0.7,0.7,0.3,0.1,0,5,23,*,,* / 5,34.8%,* / *,,* / 5,34.8%,* / *,243,151,164,76,634,6.6%,20.4%,17.2%,10.3%,13.3%,8.5%,5.3%,12.2%,20.8%,10.3%,18.5%,15.9%,9.1%,5.3%,13.9%,2.9%,1.7%,0.0%,2.8%,2.0%,93.1%,94.9%,100.0%,88.9%,94.5%,75.5%,74.6%,81.4%,58.3%,74.2%,85.3%,89.8%,88.1%,80.6%,86.3%,31%,8%,10%,11%,5%,55%,1%,19%,56%,11%,68%,29%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
375,AUSTIN FERTILITY AND REPRODUCTIVE MEDICINE-WESTLAKE IVF,,AUSTIN,TEXAS,"Shahryar K. Kavoussi, MD",55,16,22,17,60.0%,7 / 16,18.2%,* / 17,45.5%,7 / 16,18.2%,* / 17,55,16,20,15,60.0%,7 / 16,20.0%,* / 15,45.5%,7 / 16,20.0%,* / 15,68,19,12,6,48.5%,7 / 19,* / 12,* / 6,36.8%,7 / 19,* / 12,* / 6,1.7,2.3,5.5,4.3,61.0%,* / 9,* / 14,* / 7,63.4%,5 / 9,* / 14,* / 7,63.4%,5 / 9,* / 14,* / 7,1.1,1.1,1.0,1.3,1.2,1.0,0.6,0.4,*,6,14,*,* / *,0 / 6,* / 14,* / *,* / *,0 / 6,* / 14,* / *,122,61,55,33,271,1.4%,8.6%,6.1%,0 / 12,4.0%,16.5%,17.2%,22.6%,27.3%,19.2%,3.3%,6.6%,0.0%,0.0%,3.0%,4.4%,11.1%,0.0%,0 / 18,4.4%,69.1%,74.1%,90.9%,15 / 18,75.6%,88.2%,77.8%,63.6%,14 / 18,80.7%,14.7%,40.7%,50.0%,9 / 18,30.4%,70%,4%,8%,11%,9%,48%,3%,26%,40%,12%,78%,31%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
376,"AUSTIN FERTILITY INSTITUTE, PA",,AUSTIN,TEXAS,"Kenneth K. Moghadam, MD",98,57,51,10,57.1%,40.4%,19.6%,* / 10,53.1%,38.6%,17.6%,* / 10,96,51,43,8,58.3%,45.1%,23.3%,* / 8,54.2%,43.1%,20.9%,* / 8,106,49,32,5,52.8%,46.9%,31.3%,* / 5,49.1%,44.9%,28.1%,* / 5,1.8,2.5,5.1,2.5,61.5%,42.1%,23.1%,* / *,66.7%,50.0%,23.1%,* / *,66.7%,50.0%,30.8%,* / *,1.1,1.2,1.3,1.3,1.2,0.9,0.7,0.4,*,0,24,*,* / *,,33.3%,0 / *,* / *,,29.2%,0 / *,166,130,65,44,405,0.0%,4.2%,3.1%,0 / 14,1.8%,6.6%,1.6%,3.1%,2.3%,4.0%,3.6%,1.5%,4.6%,0.0%,2.7%,1.0%,2.4%,5.9%,9.7%,3.3%,100.0%,100.0%,97.1%,96.8%,99.2%,96.9%,95.2%,88.2%,93.5%,94.7%,71.1%,78.6%,67.6%,58.1%,71.5%,47%,14%,12%,14%,3%,4%,1%,13%,35%,5%,9%,2%,8%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
377,TEXAS FERTILITY CENTER,"VAUGHN, SILVERBERG & ASSOCIATES",AUSTIN,TEXAS,"Kaylen Silverberg, MD",304,224,162,125,46.7%,38.4%,27.2%,7.2%,43.1%,37.9%,27.2%,7.2%,281,209,143,105,50.5%,41.1%,30.8%,8.6%,46.6%,40.7%,30.8%,8.6%,298,177,85,27,47.7%,48.6%,51.8%,33.3%,44.0%,48.0%,51.8%,33.3%,2.1,2.6,3.7,13.9,52.8%,43.8%,26.8%,1.8%,56.9%,49.3%,34.1%,5.3%,57.4%,50.0%,34.1%,5.3%,1.2,1.2,1.3,1.3,1.0,0.8,0.5,0.2,5,*,149,19,* / 5,* / *,48.3%,9 / 19,* / 5,* / *,47.0%,9 / 19,851,512,450,421,"2,234",3.8%,7.4%,9.8%,14.8%,7.8%,10.5%,10.5%,16.4%,19.5%,13.3%,6.1%,8.2%,6.7%,1.2%,5.8%,2.4%,6.6%,6.0%,5.9%,4.8%,98.2%,98.4%,96.7%,96.5%,97.6%,86.1%,83.5%,85.2%,62.9%,80.7%,73.0%,68.7%,75.8%,67.3%,71.4%,25%,7%,8%,5%,8%,2%,1%,36%,39%,3%,9%,<1%,13%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
378,CENTER FOR ASSISTED REPRODUCTION,,BEDFORD,TEXAS,"Kevin J. Doody, MD",177,81,86,34,55.4%,37.0%,31.4%,14.7%,54.2%,35.8%,30.2%,14.7%,170,78,79,32,57.6%,38.5%,34.2%,15.6%,56.5%,37.2%,32.9%,15.6%,219,96,84,19,44.7%,31.3%,32.1%,5 / 19,43.8%,30.2%,31.0%,5 / 19,1.8,2.7,3.2,6.8,57.8%,44.1%,39.3%,17.4%,60.5%,47.5%,39.3%,17.4%,61.2%,49.2%,39.3%,17.4%,1.1,1.2,1.2,1.1,1.3,1.2,1.0,0.7,5,*,23,20,* / 5,* / *,34.8%,25.0%,* / 5,* / *,34.8%,25.0%,537,209,159,122,"1,027",3.7%,3.1%,2.7%,9.8%,4.1%,6.3%,8.7%,9.6%,15.4%,8.3%,3.4%,1.4%,1.3%,0.0%,2.2%,2.0%,2.8%,1.8%,9.3%,3.0%,82.1%,74.8%,74.1%,86.7%,79.8%,54.2%,49.7%,52.7%,52.0%,52.7%,5.5%,5.6%,16.1%,30.7%,10.0%,29%,6%,19%,22%,3%,5%,0%,20%,26%,4%,13%,7%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
379,THE CENTER FOR REPRODUCTIVE ENDOCRINOLOGY,,DALLAS,TEXAS,"Walid A. Saleh, MD",88,33,36,17,52.3%,36.4%,16.7%,* / 17,40.9%,27.3%,16.7%,* / 17,83,30,34,15,55.4%,40.0%,17.6%,* / 15,43.4%,30.0%,17.6%,* / 15,85,28,20,8,54.1%,42.9%,30.0%,* / 8,42.4%,32.1%,30.0%,* / 8,1.9,2.8,6.0,17.0,58.2%,42.9%,* / 17,* / 12,61.2%,42.9%,* / 17,* / 12,61.2%,42.9%,* / 17,* / 12,1.0,1.2,1.2,1.0,1.0,0.8,0.6,0.4,9,9,16,*,* / 9,* / 9,11 / 16,* / *,0 / 9,* / 9,9 / 16,0 / *,183,84,67,64,398,3.5%,8.3%,10.4%,6.1%,6.2%,14.0%,13.8%,19.4%,21.0%,15.9%,2.7%,1.2%,1.5%,0.0%,1.8%,1.7%,3.4%,0.0%,8.3%,2.8%,56.2%,58.6%,44.1%,55.6%,55.0%,81.0%,79.3%,94.1%,72.2%,81.1%,17.4%,13.8%,14.7%,25.0%,17.3%,16%,1%,16%,14%,4%,6%,1%,37%,18%,3%,14%,1%,10%,No,No,Yes,Yes,Yes,Yes,Yes,0,TX
380,DALLAS-FORT WORTH FERTILITY ASSOCIATES,,DALLAS,TEXAS,"Samuel J. Chantilis, MD",324,187,161,101,55.6%,44.9%,19.9%,5.0%,48.8%,40.1%,19.3%,4.0%,305,168,139,80,59.0%,50.0%,23.0%,6.3%,51.8%,44.6%,22.3%,5.0%,364,152,85,20,49.5%,55.3%,37.6%,25.0%,43.4%,49.3%,36.5%,20.0%,1.8,2.2,5.0,20.2,60.0%,47.9%,23.4%,10.0%,66.7%,55.3%,28.1%,10.0%,66.7%,57.4%,28.1%,10.0%,1.2,1.2,1.3,1.2,1.1,0.9,0.6,0.2,26,7,74,12,50.0%,* / 7,50.0%,9 / 12,34.6%,* / 7,48.6%,8 / 12,691,483,369,282,"1,825",6.6%,5.3%,12.0%,18.6%,9.5%,15.0%,10.9%,13.7%,16.7%,13.9%,6.2%,9.3%,8.9%,3.2%,7.1%,1.1%,1.1%,2.9%,5.4%,2.1%,85.3%,87.4%,86.0%,73.0%,84.1%,56.1%,49.3%,38.6%,41.9%,48.9%,34.5%,46.7%,54.4%,41.2%,42.5%,33%,7%,10%,17%,7%,4%,<1%,38%,30%,3%,11%,2%,11%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
381,FERTILITY AND ADVANCED REPRODUCTIVE MEDICINE,,DALLAS,TEXAS,"Orhan Bukulmez, MD",44,39,42,66,50.0%,17.9%,11.9%,1.5%,45.5%,17.9%,9.5%,1.5%,42,33,31,54,52.4%,21.2%,16.1%,1.9%,47.6%,21.2%,12.9%,1.9%,44,25,14,18,50.0%,28.0%,5 / 14,* / 18,45.5%,28.0%,* / 14,* / 18,2.0,5.6,8.4,66.0,53.1%,* / 19,* / 8,0 / 16,62.5%,5 / 19,* / 8,0 / 16,68.8%,6 / 19,* / 8,* / 16,1.3,1.5,1.5,2.4,1.0,0.7,0.5,0.2,0,*,6,0,,* / *,* / 6,,,* / *,* / 6,,109,64,79,116,368,9.8%,7.7%,24.5%,23.2%,17.0%,15.5%,16.4%,17.9%,18.0%,16.9%,5.5%,4.7%,6.3%,0.0%,3.8%,0.0%,0.0%,3.2%,6.8%,2.7%,95.9%,100.0%,93.5%,100.0%,97.3%,77.6%,92.0%,77.4%,54.5%,73.2%,20.4%,20.0%,25.8%,4.5%,16.8%,36%,10%,14%,11%,18%,4%,0%,52%,35%,2%,8%,5%,4%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
382,FERTILITY CENTER OF DALLAS,,DALLAS,TEXAS,"J. Michael Putman, MD",36,26,21,12,58.3%,46.2%,14.3%,* / 12,47.2%,30.8%,14.3%,* / 12,35,24,18,10,60.0%,50.0%,* / 18,* / 10,48.6%,33.3%,* / 18,* / 10,43,24,10,5,48.8%,50.0%,* / 10,* / 5,39.5%,33.3%,* / 10,* / 5,1.7,2.2,7.0,12.0,66.7%,6 / 12,* / 9,* / 8,70.4%,8 / 12,* / 9,* / 8,70.4%,8 / 12,* / 9,* / 8,1.0,1.2,1.3,1.3,1.2,1.1,0.6,0.5,*,*,10,*,* / *,* / *,* / 10,0 / *,0 / *,* / *,* / 10,0 / *,104,61,57,50,272,0.0%,3.0%,12.9%,16.1%,7.2%,2.9%,3.3%,1.9%,11.1%,4.2%,5.8%,11.5%,7.0%,4.0%,7.0%,1.4%,0.0%,0.0%,0.0%,0.7%,82.6%,89.7%,92.6%,68.2%,83.7%,84.1%,79.3%,74.1%,90.9%,82.3%,39.1%,44.8%,55.6%,22.7%,40.8%,33%,11%,17%,7%,28%,42%,<1%,27%,39%,10%,51%,8%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
383,REPROMED FERTILITY CENTER,,DALLAS,TEXAS,"Anil B. Pinto, MD",52,34,42,16,44.2%,32.4%,16.7%,0 / 16,30.8%,26.5%,11.9%,0 / 16,47,25,32,11,48.9%,44.0%,21.9%,0 / 11,34.0%,36.0%,15.6%,0 / 11,34,16,8,0,67.6%,11 / 16,7 / 8,,47.1%,9 / 16,5 / 8,,2.3,3.1,6.0,,44.7%,5 / 19,* / 19,0 / 8,57.9%,8 / 19,6 / 19,0 / 8,57.9%,9 / 19,7 / 19,0 / 8,1.3,1.3,1.9,1.5,0.7,0.5,0.2,0.0,0,0,*,*,,,0 / *,* / *,,,0 / *,* / *,86,60,67,46,259,9.5%,6.3%,17.0%,26.5%,14.8%,1.2%,8.6%,8.5%,35.1%,10.2%,0.0%,8.3%,1.5%,2.2%,2.7%,0.0%,0.0%,0.0%,0 / 10,0.0%,100.0%,100.0%,100.0%,10 / 10,100.0%,90.9%,73.1%,100.0%,8 / 10,87.0%,52.3%,69.2%,65.0%,5 / 10,59.0%,28%,7%,20%,33%,7%,73%,0%,36%,51%,7%,74%,1%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
384,TEXAS CENTER FOR REPRODUCTIVE HEALTH,,DALLAS,TEXAS,"Samuel P. Marynick, MD",10,*,5,9,* / 10,* / *,* / 5,* / 9,* / 10,* / *,* / 5,* / 9,10,*,5,7,* / 10,* / *,* / 5,* / 7,* / 10,* / *,* / 5,* / 7,9,*,5,5,* / 9,* / *,* / 5,* / 5,* / 9,* / *,* / 5,* / 5,3.3,2.0,5.0,9.0,* / *,,* / *,0 / *,* / *,,* / *,0 / *,* / *,,* / *,0 / *,1.3,,1.0,1.5,0.8,,1.0,0.0,0,0,*,0,,,0 / *,,,,0 / *,,10,11,10,14,45,* / 9,0 / 7,0 / 8,0 / 8,6.3%,* / 8,* / 11,* / 10,* / 14,20.9%,0 / 10,0 / 11,* / 10,0 / 14,2.2%,* / 6,0 / 9,0 / 5,0 / 8,3.6%,* / 6,* / 9,* / 5,* / 8,42.9%,6 / 6,7 / 9,* / 5,8 / 8,89.3%,* / 6,* / 9,* / 5,* / 8,32.1%,36%,9%,22%,13%,27%,29%,2%,40%,22%,13%,69%,4%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
385,"SOUTHWEST CENTER FOR REPRODUCTIVE HEALTH, PA",,EL PASO,TEXAS,"Luis S. Noble, MD",22,17,20,10,54.5%,7 / 17,25.0%,0 / 10,54.5%,6 / 17,20.0%,0 / 10,21,17,17,9,57.1%,7 / 17,5 / 17,0 / 9,57.1%,6 / 17,* / 17,0 / 9,25,18,17,8,48.0%,7 / 18,5 / 17,0 / 8,48.0%,6 / 18,* / 17,0 / 8,1.8,2.4,4.0,,9 / 17,* / 10,* / 12,0 / 5,10 / 17,* / 10,* / 12,0 / 5,10 / 17,* / 10,* / 12,0 / 5,1.1,1.2,1.3,1.2,1.2,1.1,0.9,0.7,0,5,*,0,,* / 5,0 / *,,,* / 5,0 / *,,33,30,26,12,101,* / 17,16.7%,13.6%,* / 7,14.3%,9.4%,0.0%,8.7%,0 / 10,5.5%,0.0%,0.0%,0.0%,0 / 12,0.0%,0.0%,0.0%,0 / 19,0 / 10,0.0%,57.7%,19.2%,* / 19,* / 10,30.9%,92.3%,96.2%,19 / 19,8 / 10,93.8%,7.7%,3.8%,0 / 19,0 / 10,3.7%,35%,37%,21%,19%,18%,1%,0%,29%,7%,8%,10%,0%,4%,No,No,Yes,Yes,No,Yes,No,0,TX
386,BROOKE ARMY MEDICAL CENTER,,FORT SAM HOUSTON,TEXAS,"Belinda Yauger, MD",57,26,28,6,40.4%,30.8%,25.0%,0 / 6,38.6%,30.8%,21.4%,0 / 6,55,23,24,*,41.8%,34.8%,29.2%,0 / *,40.0%,34.8%,25.0%,0 / *,61,26,25,*,37.7%,30.8%,28.0%,0 / *,36.1%,30.8%,24.0%,0 / *,2.5,3.3,4.0,,41.0%,30.0%,* / 11,0 / *,46.2%,30.0%,* / 11,0 / *,46.2%,30.0%,* / 11,0 / *,1.1,1.1,1.2,1.0,1.0,1.0,1.0,0.8,0,0,0,0,,,,,,,,,75,55,28,10,168,1.5%,0.0%,20.0%,* / 9,6.3%,14.9%,7.3%,4.2%,0 / 6,10.1%,2.7%,5.5%,10.7%,0 / 10,4.8%,0.0%,0.0%,0.0%,0 / 6,0.0%,13.1%,14.6%,40.0%,* / 6,17.8%,88.5%,85.4%,75.0%,6 / 6,85.9%,0.0%,0.0%,0.0%,0 / 6,0.0%,43%,16%,22%,13%,20%,0%,0%,18%,5%,1%,5%,5%,9%,No,No,Yes,Yes,No,Yes,Yes,0,TX
387,"FORT WORTH FERTILITY, PA",,FORT WORTH,TEXAS,"Robert A. Kaufmann, MD",168,60,38,32,64.3%,41.7%,47.4%,6.3%,43.5%,35.0%,39.5%,6.3%,163,57,37,31,66.3%,43.9%,48.6%,6.5%,44.8%,36.8%,40.5%,6.5%,168,47,31,14,64.3%,53.2%,58.1%,* / 14,43.5%,44.7%,48.4%,* / 14,1.6,2.4,2.1,16.0,63.2%,48.6%,42.9%,* / 18,66.2%,51.4%,42.9%,* / 18,67.7%,51.4%,42.9%,* / 18,1.1,1.1,1.0,1.4,1.0,0.9,0.8,0.4,*,10,34,11,* / *,5 / 10,44.1%,* / 11,* / *,5 / 10,26.5%,* / 11,374,130,124,91,719,0.0%,10.3%,3.2%,16.7%,5.0%,12.3%,7.3%,9.8%,9.8%,10.7%,1.9%,3.8%,1.6%,3.3%,2.4%,9.1%,9.1%,11.6%,2.1%,8.7%,90.4%,79.2%,82.6%,59.6%,83.5%,90.0%,84.4%,82.6%,78.7%,86.4%,42.0%,44.2%,43.5%,34.0%,41.7%,21%,2%,12%,8%,<1%,3%,<1%,20%,31%,3%,14%,7%,27%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
388,CCRM DALLAS-FORT WORTH,,FRISCO,TEXAS,"Dorette J. Noorhasan, MD",54,35,37,9,37.0%,20.0%,13.5%,* / 9,31.5%,17.1%,13.5%,* / 9,48,32,35,6,41.7%,21.9%,14.3%,* / 6,35.4%,18.8%,14.3%,* / 6,46,18,12,*,43.5%,7 / 18,5 / 12,* / *,37.0%,6 / 18,5 / 12,* / *,2.7,5.0,7.4,3.0,33.3%,* / 17,* / 14,* / *,38.5%,* / 17,* / 14,* / *,38.5%,* / 17,* / 14,* / *,1.1,1.4,1.4,1.3,0.9,0.5,0.2,0.2,0,0,*,*,,,0 / *,0 / *,,,0 / *,0 / *,70,44,30,18,162,2.8%,18.2%,8.3%,* / 15,10.3%,2.9%,5.0%,25.0%,6 / 15,11.2%,1.4%,2.3%,3.3%,0 / 18,1.9%,0.0%,0.0%,0 / 7,0 / *,0.0%,100.0%,100.0%,6 / 7,* / *,97.0%,67.6%,59.1%,* / 7,* / *,64.2%,35.3%,36.4%,* / 7,* / *,38.8%,22%,7%,16%,19%,4%,2%,0%,12%,43%,9%,2%,0%,21%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX
389,DALLAS IVF,,FRISCO,TEXAS,"Brian D. Barnett, MD",201,112,75,45,57.7%,38.4%,29.3%,6.7%,52.7%,32.1%,28.0%,6.7%,193,98,65,30,60.1%,43.9%,33.8%,10.0%,54.9%,36.7%,32.3%,10.0%,209,86,48,13,55.5%,50.0%,45.8%,* / 13,50.7%,41.9%,43.8%,* / 13,1.7,2.6,3.4,15.0,59.7%,38.1%,32.4%,8.3%,63.0%,44.4%,37.8%,8.3%,63.0%,44.4%,37.8%,8.3%,1.0,1.2,1.2,1.1,1.0,0.8,0.7,0.3,0,7,36,19,,* / 7,41.7%,11 / 19,,* / 7,41.7%,10 / 19,616,303,217,105,"1,241",4.4%,8.4%,14.4%,15.7%,8.2%,4.0%,6.2%,9.0%,11.3%,6.0%,1.9%,4.6%,2.3%,1.9%,2.7%,2.7%,3.1%,4.6%,0.0%,2.9%,94.6%,87.6%,83.5%,88.1%,90.5%,66.4%,65.2%,63.3%,47.5%,63.9%,59.8%,62.7%,68.8%,50.8%,61.2%,37%,6%,12%,23%,6%,8%,<1%,18%,37%,3%,13%,4%,11%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
390,"FERTILITY SPECIALISTS OF TEXAS, PLLC",,FRISCO,TEXAS,"Jerald S. Goldstein, MD",200,96,72,74,63.5%,53.1%,30.6%,12.2%,59.5%,50.0%,29.2%,10.8%,189,84,65,60,67.2%,60.7%,33.8%,15.0%,63.0%,57.1%,32.3%,13.3%,202,91,48,20,62.9%,56.0%,45.8%,45.0%,58.9%,52.7%,43.8%,40.0%,1.6,1.9,3.3,8.2,68.6%,59.4%,34.2%,14.7%,71.1%,64.1%,44.7%,14.7%,71.7%,64.1%,44.7%,14.7%,1.1,1.1,1.2,1.3,1.0,1.0,0.7,0.3,0,0,97,*,,,63.9%,0 / *,,,57.7%,0 / *,579,311,192,231,"1,313",3.5%,5.0%,13.0%,14.1%,7.4%,5.1%,6.6%,10.7%,9.4%,7.0%,4.8%,6.8%,5.7%,0.4%,4.6%,6.4%,7.5%,15.7%,28.4%,11.5%,98.9%,96.3%,94.0%,95.1%,97.0%,64.9%,65.0%,59.0%,61.8%,63.6%,67.0%,73.1%,78.3%,73.5%,71.1%,40%,5%,13%,19%,7%,3%,4%,20%,47%,5%,7%,2%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
391,ADVANCED FERTILITY CENTER OF TEXAS,,HOUSTON,TEXAS,"Michael A. Allon, MD",72,41,50,38,50.0%,34.1%,22.0%,5.3%,33.3%,24.4%,20.0%,5.3%,70,41,46,35,51.4%,34.1%,23.9%,5.7%,34.3%,24.4%,21.7%,5.7%,64,30,27,10,56.3%,46.7%,40.7%,* / 10,37.5%,33.3%,37.0%,* / 10,2.0,2.9,4.5,19.0,58.1%,27.3%,* / 18,0 / 14,65.1%,40.9%,6 / 18,* / 14,65.1%,40.9%,7 / 18,* / 14,1.1,1.4,1.6,1.6,1.0,0.7,0.5,0.2,7,0,21,0,* / 7,,52.4%,,* / 7,,47.6%,,161,69,101,86,417,2.6%,0.0%,6.8%,7.4%,4.4%,6.9%,2.9%,13.4%,13.4%,9.1%,2.5%,2.9%,1.0%,0.0%,1.7%,1.2%,11.4%,4.7%,2.8%,4.1%,97.6%,97.1%,95.3%,86.1%,94.9%,98.8%,100.0%,100.0%,94.4%,98.5%,30.1%,51.4%,34.9%,27.8%,34.5%,39%,11%,24%,31%,2%,37%,1%,36%,49%,7%,43%,2%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX
